from_address,to_address,distance_km,weight_kg,height_cm,width_cm,length_cm,delivery_option,transport_mode,cost,estimated_time_hours
Kolkata,Ahmedabad,996,4.5,76.8,49.7,66.9,Normal,Road,2796.11,44.9
Mumbai,Bangalore,1816,35.12,36.7,68.7,86.5,Normal,Rail,2468.37,51.9
Chennai,Bangalore,1818,9.26,29.0,16.0,78.4,Express,Road,1302.41,44.4
Bangalore,Kolkata,1159,36.5,76.9,64.4,77.2,Economy,Rail,2147.87,44.2
Ahmedabad,Chennai,1240,3.37,64.9,80.9,72.4,Normal,Air,21275.69,10.9
Mumbai,Bangalore,1816,94.73,66.5,19.6,93.6,Normal,Air,44774.26,17.2
Ahmedabad,Mumbai,1398,45.95,18.7,23.1,61.9,Express,Road,5168.62,43.2
Pune,Delhi,1004,93.46,53.2,83.0,31.9,Normal,Air,23833.44,23.4
Ahmedabad,Kolkata,461,48.69,36.6,77.5,40.8,Normal,Road,1230.22,22.6
Pune,Chennai,498,32.16,49.9,91.8,41.2,Express,Air,7726.92,5.4
Hyderabad,Pune,489,10.49,85.3,14.5,91.5,Economy,Air,2056.1,25.0
Mumbai,Bangalore,1816,78.26,30.2,64.2,42.8,Economy,Rail,3651.24,60.3
Hyderabad,Ahmedabad,1078,72.01,77.1,87.9,8.4,Economy,Road,3186.52,67.8
Mumbai,Bangalore,1816,97.84,77.2,71.9,14.5,Economy,Air,34110.27,15.4
Chennai,Delhi,351,36.17,45.9,28.2,44.1,Express,Road,889.33,27.0
Bangalore,Ahmedabad,1506,91.33,18.6,48.8,29.1,Normal,Air,31011.8,25.2
Delhi,Chennai,365,44.45,37.8,60.8,65.7,Normal,Air,3853.34,8.8
Pune,Ahmedabad,1794,48.58,27.5,59.3,59.6,Express,Rail,3546.89,34.2
Chennai,Kolkata,863,86.57,78.9,97.5,91.5,Express,Rail,5831.02,30.4
Bangalore,Kolkata,1159,80.29,25.8,23.1,28.8,Express,Air,36158.27,7.4
Chennai,Delhi,351,78.97,8.2,39.7,17.5,Normal,Rail,872.71,12.1
Hyderabad,Kolkata,989,50.43,30.9,20.6,91.8,Normal,Rail,1570.04,22.3
Mumbai,Ahmedabad,1164,75.54,26.4,69.3,69.1,Normal,Air,21392.03,6.7
Mumbai,Bangalore,1816,37.17,76.2,29.9,41.2,Express,Rail,2799.6,24.6
Hyderabad,Kolkata,989,22.53,11.0,83.3,91.4,Normal,Air,5468.37,24.8
Kolkata,Bangalore,1854,12.05,27.3,56.1,41.9,Normal,Air,6483.3,18.7
Delhi,Bangalore,747,65.66,84.2,63.5,94.2,Normal,Road,3905.51,30.5
Bangalore,Pune,1219,36.59,98.2,39.9,90.7,Express,Rail,3556.19,36.9
Ahmedabad,Chennai,1240,66.45,66.0,61.7,7.0,Normal,Road,4522.68,40.9
Bangalore,Kolkata,1159,21.99,87.6,36.2,19.0,Express,Road,1826.33,46.0
Kolkata,Pune,1165,17.86,67.8,7.4,6.4,Economy,Air,4014.71,8.3
Pune,Kolkata,841,11.81,11.0,47.6,39.4,Express,Road,737.77,30.2
Kolkata,Bangalore,1854,64.51,8.0,99.9,85.5,Normal,Air,27555.97,16.7
Mumbai,Delhi,1685,61.03,11.2,31.1,65.1,Express,Air,37215.04,17.2
Ahmedabad,Kolkata,461,60.74,14.4,71.7,86.0,Express,Air,10964.21,13.6
Bangalore,Ahmedabad,1506,34.22,48.1,44.5,14.0,Normal,Rail,1597.11,31.5
Ahmedabad,Chennai,1240,9.58,13.1,46.0,75.7,Normal,Road,600.66,46.8
Hyderabad,Ahmedabad,1078,12.66,38.6,68.2,76.3,Express,Road,3552.19,30.3
Bangalore,Mumbai,707,65.85,26.3,15.3,85.3,Normal,Road,2450.06,38.1
Chennai,Kolkata,863,92.94,83.8,30.4,22.1,Express,Rail,3913.62,17.4
Delhi,Kolkata,776,65.91,11.6,75.4,97.3,Economy,Air,10291.59,15.3
Delhi,Ahmedabad,354,31.51,35.8,94.4,61.6,Economy,Road,549.17,31.1
Kolkata,Bangalore,1854,66.36,51.1,47.0,31.0,Express,Road,8941.63,47.5
Ahmedabad,Kolkata,461,66.88,9.3,42.6,61.9,Economy,Road,1184.29,23.0
Kolkata,Delhi,313,33.15,5.7,76.0,21.7,Normal,Air,2699.65,21.3
Hyderabad,Chennai,869,40.01,75.5,46.4,48.7,Economy,Rail,847.09,40.2
Pune,Delhi,1004,11.96,7.0,35.9,81.1,Express,Rail,576.24,18.5
Mumbai,Ahmedabad,1164,43.85,43.0,12.5,87.7,Express,Rail,2168.96,19.9
Mumbai,Kolkata,1416,51.24,91.1,38.2,74.1,Express,Road,5188.25,31.0
Delhi,Pune,1532,76.04,12.2,95.4,64.7,Normal,Air,30637.02,25.5
Hyderabad,Pune,489,97.11,35.0,46.8,49.5,Express,Rail,2263.55,16.8
Mumbai,Delhi,1685,46.44,8.6,40.0,32.3,Express,Road,6003.85,42.8
Chennai,Bangalore,1818,90.95,59.3,22.9,62.5,Express,Road,13536.28,51.7
Hyderabad,Ahmedabad,1078,8.89,66.4,8.7,72.2,Normal,Air,2406.76,13.5
Kolkata,Bangalore,1854,41.17,37.1,61.8,80.0,Express,Rail,3136.61,37.4
Kolkata,Delhi,313,72.51,67.4,91.1,88.0,Normal,Road,1719.23,18.3
Pune,Mumbai,1035,59.71,94.1,34.4,40.8,Normal,Road,3195.12,46.4
Mumbai,Hyderabad,478,67.21,53.3,6.7,34.3,Economy,Rail,840.07,20.4
Delhi,Mumbai,361,8.18,85.2,14.6,78.2,Express,Air,2390.22,19.8
Delhi,Kolkata,776,37.98,20.4,84.0,78.3,Economy,Air,5821.02,19.8
Bangalore,Ahmedabad,1506,61.25,76.5,79.5,27.2,Economy,Rail,2419.97,61.9
Bangalore,Delhi,1766,67.99,59.2,46.9,78.1,Normal,Air,30182.44,24.2
Delhi,Pune,1532,25.38,65.9,88.0,57.7,Economy,Air,21923.65,14.6
Delhi,Ahmedabad,354,45.21,53.8,83.9,13.7,Economy,Rail,413.65,21.9
Pune,Kolkata,841,37.71,41.7,12.8,26.3,Normal,Road,1693.27,41.5
Delhi,Chennai,365,29.04,83.8,71.1,18.2,Express,Rail,472.08,9.4
Kolkata,Mumbai,1957,83.58,57.1,74.1,55.1,Economy,Rail,3719.6,54.0
Ahmedabad,Chennai,1240,11.53,91.0,61.7,6.6,Express,Air,5084.73,14.2
Hyderabad,Mumbai,618,57.28,22.8,68.5,54.7,Normal,Road,1930.45,35.3
Chennai,Bangalore,1818,87.4,9.1,41.8,40.5,Express,Road,11576.39,37.9
Mumbai,Pune,1509,58.4,76.9,17.7,38.5,Normal,Air,20599.75,16.5
Ahmedabad,Hyderabad,1430,18.64,17.8,73.0,94.6,Economy,Rail,793.39,59.5
Hyderabad,Delhi,740,51.78,99.0,56.6,29.1,Express,Road,2750.86,18.8
Hyderabad,Delhi,740,12.89,40.0,89.5,75.6,Normal,Rail,1315.53,26.3
Kolkata,Pune,1165,8.72,45.3,45.9,99.5,Economy,Air,9243.29,13.8
Kolkata,Delhi,313,44.87,73.2,20.8,47.2,Normal,Road,734.07,24.8
Pune,Delhi,1004,64.13,80.2,10.4,68.8,Normal,Rail,1936.65,24.8
Chennai,Mumbai,528,84.94,69.4,46.6,17.0,Economy,Air,8729.87,16.9
Delhi,Hyderabad,1334,45.27,40.2,47.2,12.3,Economy,Air,11756.64,13.4
Mumbai,Chennai,1808,73.7,52.4,41.8,58.4,Normal,Rail,4160.62,44.7
Ahmedabad,Mumbai,1398,12.7,86.0,47.9,90.4,Normal,Road,5529.38,61.9
Hyderabad,Ahmedabad,1078,6.96,56.5,89.7,85.9,Express,Air,38205.85,21.4
Bangalore,Chennai,1449,98.52,80.2,27.5,51.9,Normal,Air,36204.77,26.5
Delhi,Kolkata,776,88.48,11.2,42.8,73.1,Normal,Air,16858.88,17.0
Delhi,Ahmedabad,354,64.41,47.7,69.6,37.7,Express,Air,8700.55,7.1
Chennai,Pune,757,12.85,19.5,20.6,35.7,Express,Road,707.09,36.3
Mumbai,Delhi,1685,20.03,95.9,31.1,64.4,Express,Air,22299.39,18.3
Delhi,Mumbai,361,66.04,73.5,62.5,85.0,Express,Road,2251.92,10.6
Kolkata,Hyderabad,1729,21.48,59.4,63.7,7.9,Express,Air,13341.24,16.3
Pune,Delhi,1004,45.63,70.4,20.0,44.5,Normal,Road,2217.41,44.5
Hyderabad,Ahmedabad,1078,98.81,37.8,42.9,77.3,Express,Air,36797.83,7.9
Ahmedabad,Mumbai,1398,14.52,9.8,94.8,87.1,Normal,Road,1235.94,58.0
Hyderabad,Mumbai,618,76.43,52.3,53.9,52.4,Normal,Rail,1281.88,25.3
Bangalore,Mumbai,707,58.54,9.6,31.7,61.8,Express,Air,15429.12,21.9
Pune,Mumbai,1035,88.3,74.1,77.6,39.8,Normal,Road,4633.76,39.4
Mumbai,Bangalore,1816,50.67,77.6,31.6,99.0,Express,Air,31875.59,14.7
Hyderabad,Kolkata,989,93.93,76.7,23.9,53.4,Express,Road,6333.66,26.7
Ahmedabad,Kolkata,461,45.97,62.6,54.0,36.2,Express,Rail,889.28,24.7
Kolkata,Ahmedabad,996,33.97,83.7,55.6,72.3,Normal,Rail,2137.68,33.6
Pune,Kolkata,841,31.11,90.4,87.8,64.8,Express,Rail,3710.37,33.6
Bangalore,Hyderabad,751,5.61,50.6,54.8,73.5,Normal,Road,1629.05,33.3
Mumbai,Ahmedabad,1164,2.38,34.8,19.4,70.6,Normal,Air,2926.57,24.0
Chennai,Hyderabad,801,14.24,24.7,35.9,67.9,Express,Rail,494.16,31.0
Hyderabad,Kolkata,989,35.75,78.3,73.5,66.1,Express,Rail,3460.56,19.8
Kolkata,Mumbai,1957,94.18,98.3,78.3,72.0,Express,Air,81160.3,17.9
Kolkata,Delhi,313,12.63,69.3,41.1,98.1,Normal,Road,837.91,25.8
Hyderabad,Bangalore,1863,65.77,76.0,25.3,83.7,Normal,Air,31834.22,19.8
Bangalore,Mumbai,707,5.55,91.0,26.4,27.1,Economy,Rail,213.44,35.2
Delhi,Chennai,365,96.47,97.9,20.0,67.0,Normal,Rail,1088.15,16.1
Kolkata,Hyderabad,1729,6.39,78.0,67.0,27.1,Express,Air,19651.96,24.6
Pune,Ahmedabad,1794,17.99,92.4,99.7,42.7,Normal,Road,7673.18,71.5
Chennai,Ahmedabad,585,30.19,62.3,93.2,36.8,Normal,Air,6304.09,23.9
Ahmedabad,Delhi,555,19.68,15.7,20.4,48.6,Normal,Air,2559.23,21.0
Bangalore,Mumbai,707,61.29,65.7,43.5,45.6,Normal,Road,2123.63,39.9
Ahmedabad,Delhi,555,93.61,5.6,41.4,47.4,Normal,Rail,1496.87,13.9
Hyderabad,Ahmedabad,1078,24.01,68.4,49.2,20.2,Express,Air,10527.38,21.0
Mumbai,Hyderabad,478,91.65,33.0,63.4,25.8,Economy,Rail,978.48,28.7
Pune,Hyderabad,1952,55.15,49.7,56.1,68.1,Economy,Road,4461.43,94.4
Ahmedabad,Kolkata,461,70.52,12.4,58.6,10.9,Express,Air,11464.94,7.9
Ahmedabad,Chennai,1240,68.19,73.1,51.4,90.4,Normal,Road,4188.4,44.2
Chennai,Kolkata,863,46.51,81.7,73.7,42.6,Economy,Air,8355.04,14.8
Mumbai,Kolkata,1416,99.42,93.8,11.6,93.7,Economy,Rail,3317.11,56.6
Pune,Delhi,1004,99.29,41.3,87.6,91.1,Normal,Road,5166.52,40.7
Hyderabad,Chennai,869,18.26,56.0,55.2,74.1,Economy,Road,1674.0,49.0
Pune,Kolkata,841,38.24,26.8,48.8,19.7,Economy,Air,6773.49,19.5
Chennai,Mumbai,528,21.01,14.6,8.2,61.8,Express,Road,789.52,21.2
Bangalore,Pune,1219,86.44,10.4,52.9,32.5,Express,Air,38082.72,19.2
Hyderabad,Mumbai,618,30.53,18.6,67.7,26.0,Normal,Rail,516.32,32.8
Delhi,Hyderabad,1334,68.04,57.8,9.5,37.7,Express,Air,33227.98,19.8
Pune,Mumbai,1035,30.34,22.5,56.1,27.9,Economy,Rail,807.54,37.3
Chennai,Kolkata,863,41.56,44.6,55.3,41.9,Normal,Road,1732.44,32.8
Hyderabad,Chennai,869,53.8,83.8,9.9,40.8,Express,Air,15917.54,21.2
Bangalore,Ahmedabad,1506,21.28,91.2,33.8,91.4,Economy,Road,3708.18,76.1
Ahmedabad,Mumbai,1398,69.71,71.9,42.7,27.7,Normal,Rail,2853.86,34.6
Kolkata,Delhi,313,51.53,52.2,14.4,98.2,Normal,Rail,523.96,17.4
Bangalore,Hyderabad,751,15.02,29.8,93.8,60.0,Normal,Rail,703.19,23.7
Bangalore,Ahmedabad,1506,55.29,94.6,37.1,77.5,Normal,Air,21406.61,10.4
Hyderabad,Mumbai,618,14.43,56.9,22.5,89.5,Express,Road,1067.27,17.0
Chennai,Pune,757,1.14,18.1,64.9,11.5,Economy,Road,77.21,33.3
Ahmedabad,Hyderabad,1430,49.04,5.6,57.4,6.1,Express,Air,25112.94,6.5
Pune,Ahmedabad,1794,94.0,22.0,92.2,54.8,Economy,Road,6907.03,75.0
Pune,Chennai,498,37.62,43.6,58.7,99.1,Economy,Rail,628.59,30.4
Chennai,Ahmedabad,585,40.83,40.8,50.2,65.5,Express,Road,1641.9,27.8
Hyderabad,Kolkata,989,97.74,97.5,90.0,92.3,Economy,Road,6922.47,53.8
Kolkata,Chennai,869,92.45,70.0,31.6,56.6,Express,Road,5639.02,20.6
Bangalore,Kolkata,1159,14.85,83.0,83.0,93.2,Normal,Road,7536.6,50.4
Hyderabad,Bangalore,1863,75.68,18.3,98.9,73.8,Express,Air,57887.62,15.1
Mumbai,Delhi,1685,60.71,63.3,61.6,97.0,Normal,Road,6544.14,57.5
Bangalore,Delhi,1766,55.53,40.7,22.6,60.7,Normal,Road,5170.2,51.3
Mumbai,Chennai,1808,27.16,41.1,79.5,19.7,Normal,Rail,1432.12,50.5
Ahmedabad,Delhi,555,76.25,14.7,13.3,45.9,Express,Air,15909.02,6.5
Mumbai,Kolkata,1416,60.01,35.8,41.6,32.7,Normal,Road,4439.77,59.7
Bangalore,Kolkata,1159,52.35,70.1,21.1,30.5,Normal,Rail,1691.31,27.6
Kolkata,Bangalore,1854,78.38,39.3,94.7,73.5,Normal,Air,37176.83,10.4
Chennai,Bangalore,1818,33.56,63.9,81.4,36.3,Normal,Rail,2189.52,56.0
Delhi,Ahmedabad,354,32.41,95.0,24.1,34.8,Normal,Rail,329.84,20.0
Bangalore,Delhi,1766,37.92,82.6,42.3,15.8,Express,Road,5115.15,48.8
Chennai,Hyderabad,801,46.43,72.3,46.7,32.7,Express,Road,2967.22,27.0
Ahmedabad,Mumbai,1398,63.52,28.0,67.6,72.9,Normal,Road,4394.82,51.3
Pune,Kolkata,841,4.16,97.0,71.7,82.2,Express,Air,39048.14,10.1
Hyderabad,Mumbai,618,64.88,9.2,98.4,69.4,Normal,Rail,1314.92,14.4
Kolkata,Mumbai,1957,51.31,54.3,60.1,59.6,Normal,Rail,2946.82,50.2
Delhi,Ahmedabad,354,99.77,50.9,33.1,92.5,Economy,Road,1506.36,24.9
Hyderabad,Bangalore,1863,78.53,54.5,38.1,14.3,Express,Air,54341.24,7.3
Mumbai,Chennai,1808,84.99,66.6,69.3,20.6,Express,Road,11561.51,42.6
Pune,Bangalore,1536,23.57,43.5,22.5,65.8,Normal,Rail,983.84,34.1
Pune,Bangalore,1536,0.94,25.4,31.4,71.9,Economy,Air,3242.62,12.7
Hyderabad,Mumbai,618,46.03,29.9,87.0,55.1,Express,Rail,1304.92,23.1
Hyderabad,Delhi,740,84.63,63.6,82.3,72.1,Normal,Air,15938.9,11.8
Bangalore,Delhi,1766,12.14,40.5,18.4,41.9,Express,Road,1632.0,44.2
Delhi,Kolkata,776,17.1,32.4,22.8,85.0,Express,Road,1067.98,28.5
Bangalore,Pune,1219,38.7,58.4,67.0,43.9,Normal,Rail,1474.74,27.4
Chennai,Pune,757,76.23,32.7,31.1,56.1,Economy,Rail,1403.13,33.9
Mumbai,Kolkata,1416,11.86,78.6,83.2,39.9,Economy,Air,14605.59,16.5
Bangalore,Delhi,1766,87.54,8.1,30.0,86.9,Economy,Rail,3981.36,61.0
Bangalore,Pune,1219,73.89,70.5,86.8,63.0,Normal,Road,4808.69,52.5
Chennai,Kolkata,863,35.41,31.7,56.2,35.7,Express,Rail,1317.21,30.8
Mumbai,Ahmedabad,1164,96.3,79.6,92.3,99.3,Express,Road,13251.37,25.8
Hyderabad,Pune,489,25.13,85.1,42.3,18.5,Express,Rail,567.12,11.1
Mumbai,Bangalore,1816,51.8,31.4,94.0,40.1,Normal,Rail,2868.32,53.4
Mumbai,Hyderabad,478,97.23,65.3,71.2,85.8,Express,Rail,1973.39,13.7
Kolkata,Delhi,313,82.92,37.1,59.9,58.8,Normal,Rail,840.0,10.4
Ahmedabad,Chennai,1240,12.86,86.5,46.9,5.1,Normal,Road,876.37,55.2
Kolkata,Mumbai,1957,87.51,88.3,13.9,39.2,Economy,Rail,4245.4,55.4
Kolkata,Hyderabad,1729,70.09,27.2,67.3,71.9,Economy,Road,4824.94,68.6
Ahmedabad,Chennai,1240,1.3,37.6,16.5,86.7,Express,Road,996.01,26.3
Mumbai,Chennai,1808,31.68,88.7,18.0,78.5,Economy,Air,12584.86,19.6
Chennai,Kolkata,863,65.18,46.8,73.6,64.7,Economy,Rail,1381.35,29.7
Mumbai,Ahmedabad,1164,75.37,61.0,41.5,96.5,Normal,Road,4165.27,38.9
Kolkata,Pune,1165,94.16,7.5,85.5,88.2,Economy,Air,22408.46,15.1
Chennai,Pune,757,89.84,95.7,52.0,15.7,Normal,Air,17321.62,25.1
Hyderabad,Delhi,740,13.63,86.8,59.0,39.7,Express,Road,2375.34,33.5
Chennai,Kolkata,863,7.22,29.9,8.8,10.7,Normal,Air,1491.2,21.1
Pune,Hyderabad,1952,40.53,65.9,56.1,19.5,Economy,Rail,1738.88,76.4
Delhi,Kolkata,776,33.01,60.7,77.5,66.7,Express,Road,3513.66,36.5
Bangalore,Chennai,1449,24.83,92.8,16.0,63.2,Economy,Rail,892.17,44.9
Chennai,Hyderabad,801,14.15,6.1,52.2,37.9,Express,Air,4045.65,20.1
Kolkata,Hyderabad,1729,88.7,78.3,7.8,81.7,Normal,Air,34996.3,19.1
Mumbai,Bangalore,1816,45.79,39.2,52.5,58.9,Normal,Road,3954.1,57.3
Mumbai,Ahmedabad,1164,74.21,5.2,86.6,6.2,Economy,Rail,2016.73,39.1
Chennai,Kolkata,863,80.41,72.8,67.3,26.3,Economy,Rail,1803.97,41.3
Hyderabad,Chennai,869,50.45,90.7,22.0,81.4,Economy,Rail,961.47,31.2
Kolkata,Delhi,313,9.1,48.4,40.0,32.7,Normal,Air,1015.07,16.5
Ahmedabad,Pune,900,77.7,74.6,56.9,80.6,Economy,Road,3039.1,45.4
Chennai,Delhi,351,0.65,67.4,85.7,74.1,Economy,Road,1209.03,26.3
Chennai,Mumbai,528,71.31,13.8,92.5,90.2,Express,Rail,1762.39,29.5
Mumbai,Kolkata,1416,10.01,17.7,82.9,12.1,Express,Road,1049.24,35.8
Kolkata,Pune,1165,31.84,81.1,71.6,74.9,Normal,Rail,2901.48,25.8
Mumbai,Ahmedabad,1164,11.01,47.7,34.8,16.5,Normal,Road,634.62,49.9
Mumbai,Ahmedabad,1164,80.86,33.9,71.9,62.3,Economy,Rail,2100.02,53.7
Pune,Kolkata,841,5.37,33.4,82.9,21.5,Normal,Rail,303.75,20.1
Mumbai,Pune,1509,79.48,16.5,10.9,79.2,Economy,Road,4507.78,73.2
Mumbai,Kolkata,1416,58.82,92.2,12.1,99.7,Economy,Air,16469.36,26.0
Hyderabad,Chennai,869,4.75,48.8,21.0,59.5,Express,Rail,476.52,22.4
Hyderabad,Mumbai,618,90.88,31.1,47.4,19.1,Express,Air,21554.18,14.9
Ahmedabad,Chennai,1240,9.23,41.4,44.8,66.1,Express,Road,2339.94,42.9
Pune,Ahmedabad,1794,71.48,50.6,79.2,37.7,Express,Air,46372.43,6.9
Bangalore,Chennai,1449,89.63,79.0,10.6,99.2,Express,Rail,6156.23,42.1
Mumbai,Ahmedabad,1164,65.86,30.3,82.5,92.1,Economy,Road,3112.86,59.6
Delhi,Mumbai,361,24.04,35.2,75.1,39.1,Express,Road,677.37,21.5
Delhi,Kolkata,776,94.86,84.5,82.0,97.2,Express,Rail,4398.5,13.3
Bangalore,Chennai,1449,52.88,5.1,92.2,24.1,Economy,Rail,1918.74,60.1
Hyderabad,Chennai,869,2.68,60.7,92.1,78.6,Express,Rail,3753.19,32.7
Pune,Kolkata,841,10.55,33.7,18.0,20.0,Normal,Air,2422.5,9.2
Hyderabad,Mumbai,618,66.72,82.4,40.9,74.7,Normal,Road,1928.76,32.0
Pune,Ahmedabad,1794,99.43,96.7,8.1,62.2,Express,Road,13751.95,42.8
Hyderabad,Ahmedabad,1078,8.24,37.9,35.4,65.4,Economy,Air,3912.2,14.1
Chennai,Delhi,351,21.36,70.9,38.3,79.8,Express,Road,1037.79,18.5
Delhi,Bangalore,747,49.56,41.0,56.9,14.6,Normal,Air,9534.78,8.8
Mumbai,Pune,1509,84.65,33.0,35.3,95.4,Economy,Rail,2863.41,55.4
